First Name,Last Name,Date of Birth,Six Digit Company ID#,Monthly Salary,Department,Job Title,Team,Hire Date,Branch Location,Age,TenureYears,Annual Salary
Luke,White,1992-09-01,339390,3363,Tellers,Senior Teller,TEL-1,2016-11-15,Westside Branch,33.5,9.26,40356
John,Baker,1986-05-21,771744,7609,Managers,Assistant Manager,MAN-1,2015-04-18,Southside Branch,39.8,10.84,91308
Benjamin,Martinez,1973-01-03,634522,5237,Auditors,Chief Auditor,AUD-1,2004-03-12,Northside Branch,53.1,21.94,62844
Charlotte,Brown,1986-09-05,328748,3719,Tellers,Senior Teller,TEL-1,2010-01-19,Southside Branch,39.5,16.08,44628
Julian,Hall,1971-01-17,193887,9244,Managers,Assistant Manager,MAN-1,2003-08-30,Eastside Branch,55.1,22.48,110928
Wyatt,Martinez,1990-10-03,771893,6693,Auditors,Internal Auditor,AUD-1,2024-10-10,Eastside Branch,35.4,1.36,80316
Isabella,Baker,1979-10-13,550507,4180,Tellers,Lead Teller,TEL-1,2011-11-22,Southside Branch,46.4,14.25,50160
Julian,Mitchell,1998-05-31,703306,8544,Managers,Senior Manager,MAN-1,2024-11-22,Downtown Branch,27.7,1.24,102528
Zoey,Anderson,1988-09-24,604762,4820,Auditors,Chief Auditor,AUD-1,2018-05-24,Southside Branch,37.4,7.74,57840
Anthony,Campbell,1987-01-07,705779,3180,Tellers,Senior Teller,TEL-2,2011-07-18,Uptown Branch,39.1,14.59,38160
Ella,Jackson,1985-11-10,861081,8115,Managers,Senior Manager,MAN-2,2020-02-07,Northside Branch,40.3,6.03,97380
Gabriel,Clark,1983-03-25,143089,6917,Auditors,Senior Auditor,AUD-2,2014-06-28,Westside Branch,42.9,11.65,83004
John,Carter,1970-07-20,254587,3828,Tellers,Senior Teller,TEL-2,2014-05-18,Northside Branch,55.6,11.76,45936
Alexander,Sanchez,1981-01-24,158437,7292,Managers,Branch Manager,MAN-2,2024-06-22,Eastside Branch,45.1,1.66,87504
Olivia,Perez,1987-08-24,285412,6779,Auditors,Senior Auditor,AUD-2,2009-12-31,Northside Branch,38.5,16.14,81348
Isabella,Nguyen,1985-12-22,852466,3047,Tellers,Junior Teller,TEL-2,2024-01-03,Uptown Branch,40.2,2.13,36564
James,Gonzalez,1980-11-06,523148,9474,Managers,Senior Manager,MAN-2,2006-04-10,Eastside Branch,45.3,19.86,113688
Aria,Allen,1987-12-09,251780,5995,Auditors,Internal Auditor,AUD-2,2016-01-09,Uptown Branch,38.2,10.11,71940
Logan,Harris,2001-07-03,907285,4250,Tellers,Junior Teller,TEL-3,2023-10-08,Southside Branch,24.6,2.37,51000
Samuel,Young,1982-09-30,868180,9820,Managers,Assistant Manager,MAN-3,2019-05-28,Northside Branch,43.4,6.73,117840
Anthony,Moore,1965-03-15,416074,5427,Auditors,Internal Auditor,AUD-3,2018-07-28,Northside Branch,60.9,7.56,65124
Isaac,Scott,1986-03-23,802783,3943,Tellers,Lead Teller,TEL-3,2021-12-03,Southside Branch,39.9,4.21,47316
Scarlett,Lewis,1970-02-21,206466,7708,Managers,Senior Manager,MAN-3,2022-02-24,Westside Branch,56.0,3.99,92496
Zoey,Allen,1986-10-29,781342,6207,Auditors,Senior Auditor,AUD-3,2021-07-25,Southside Branch,39.3,4.57,74484
Christopher,Allen,1965-08-08,677941,3183,Tellers,Junior Teller,TEL-3,1994-03-08,Westside Branch,60.5,31.95,38196
Ellie,Robinson,1971-01-09,231930,9102,Managers,Assistant Manager,MAN-3,2013-10-07,Northside Branch,55.1,12.37,109224
Leah,Hall,1994-01-16,734121,6415,Auditors,Senior Auditor,AUD-3,2023-11-28,Northside Branch,32.1,2.23,76980
Hannah,Harris,1979-05-27,297251,3167,Tellers,Lead Teller,TEL-4,2014-07-19,Eastside Branch,46.7,11.59,38004
Scarlett,Johnson,1995-01-11,552947,7874,Managers,Senior Manager,MAN-4,2021-01-19,Westside Branch,31.1,5.08,94488
Mason,Hill,1965-06-03,642885,4731,Auditors,Chief Auditor,AUD-4,1995-06-22,Eastside Branch,60.7,30.66,56772
Natalie,Rivera,1991-10-25,969614,4339,Tellers,Junior Teller,TEL-4,2024-08-07,Uptown Branch,34.3,1.54,52068
Amelia,Martinez,1984-11-11,525610,7050,Managers,Senior Manager,MAN-4,2011-12-18,Eastside Branch,41.3,14.17,84600
Luna,Perez,1998-03-11,181252,6864,Auditors,Chief Auditor,AUD-4,2023-11-13,Uptown Branch,27.9,2.27,82368
Luna,Williams,1974-11-07,913376,3512,Tellers,Lead Teller,TEL-4,2017-01-14,Southside Branch,51.3,9.1,42144
Elijah,Allen,1976-03-04,856002,8964,Managers,Branch Manager,MAN-4,2007-04-02,Eastside Branch,50.0,18.89,107568
Addison,Miller,1978-04-04,988107,4526,Auditors,Internal Auditor,AUD-4,2011-01-21,Southside Branch,47.9,15.08,54312
Joshua,Flores,1997-05-13,404768,4470,Tellers,Lead Teller,TEL-5,2024-06-12,Westside Branch,28.8,1.69,53640
Logan,Martinez,1974-01-05,557130,7553,Managers,Senior Manager,MAN-5,2004-09-18,Eastside Branch,52.1,21.42,90636
Wyatt,Miller,1994-04-03,141840,4585,Auditors,Internal Auditor,AUD-5,2020-02-13,Uptown Branch,31.9,6.02,55020
Luna,Wright,1967-04-15,289747,4477,Tellers,Lead Teller,TEL-5,1996-01-24,Westside Branch,58.9,30.07,53724
Liam,Moore,1991-09-12,208582,9088,Managers,Assistant Manager,MAN-5,2020-06-08,Southside Branch,34.4,5.7,109056
Evelyn,Sanchez,1991-07-19,520185,4763,Auditors,Senior Auditor,AUD-5,2023-05-01,Northside Branch,34.6,2.81,57156
Ava,Ramirez,1973-03-18,285560,3971,Tellers,Senior Teller,TEL-5,2023-04-07,Northside Branch,52.9,2.87,47652
Dylan,Anderson,1982-06-18,121737,7369,Managers,Assistant Manager,MAN-5,2015-08-13,Downtown Branch,43.7,10.52,88428
Stella,Wilson,1996-06-14,123188,4982,Auditors,Senior Auditor,AUD-5,2018-11-22,Eastside Branch,29.7,7.24,59784
Victoria,Brown,1975-09-28,280074,3432,Tellers,Lead Teller,TEL-6,2012-04-01,Northside Branch,50.4,13.89,41184
Samuel,Lee,1985-07-23,871197,8996,Managers,Assistant Manager,MAN-6,2011-09-15,Eastside Branch,40.6,14.43,107952
Liam,Campbell,1997-06-14,344866,6568,Auditors,Internal Auditor,AUD-6,2019-12-30,Downtown Branch,28.7,6.14,78816
Charlotte,Campbell,1967-04-06,217196,4476,Tellers,Junior Teller,TEL-6,1993-01-27,Westside Branch,58.9,33.06,53712
Dylan,Garcia,1995-10-10,228422,8919,Managers,Senior Manager,MAN-6,2022-09-21,Northside Branch,30.4,3.41,107028
Lily,Flores,1965-06-22,630411,6879,Auditors,Internal Auditor,AUD-6,2024-06-23,Northside Branch,60.7,1.66,82548
Charlotte,Miller,1988-03-17,803814,3846,Tellers,Lead Teller,TEL-6,2011-10-09,Southside Branch,37.9,14.37,46152
David,King,1968-08-03,522261,9328,Managers,Assistant Manager,MAN-6,2007-03-13,Uptown Branch,57.5,18.94,111936
Nora,Robinson,1970-03-19,108179,5506,Auditors,Chief Auditor,AUD-6,2015-12-23,Westside Branch,55.9,10.16,66072
Hannah,Lee,1968-02-13,279066,3230,Tellers,Senior Teller,TEL-7,2021-08-04,Westside Branch,58.0,4.54,38760
